"Path","Name","Modified","Size","LineCount","Sha1","First5"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1358_stage_7_2e0_final_state_clock_design_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1358_stage_7_2e0_final_state_clock_design_snapshot.pine","2026-04-29 14:58:35","40066","581","ED03BD876F672231B7963E8A59F87EF81887EEB6","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1413_stage_7_2f_deep_security_timing_trace_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1413_stage_7_2f_deep_security_timing_trace_snapshot.pine","2026-04-29 14:58:35","40066","581","ED03BD876F672231B7963E8A59F87EF81887EEB6","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1436_after_stage_7_2g_timing_trace_debug.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1436_after_stage_7_2g_timing_trace_debug.pine","2026-04-30 14:37:54","43463","636","695279C51D19D7141627D832550F45D67AF47FBE","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1436_before_stage_7_2g_timing_trace_debug.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1436_before_stage_7_2g_timing_trace_debug.pine","2026-04-29 14:58:35","40066","581","ED03BD876F672231B7963E8A59F87EF81887EEB6","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1533_after_stage_7_2h_visual_declutter.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1533_after_stage_7_2h_visual_declutter.pine","2026-04-30 15:35:42","50091","682","2ED643A3FEA38245DC0AF5E65694FC84260DEE97","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1533_before_stage_7_2h_visual_declutter.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1533_before_stage_7_2h_visual_declutter.pine","2026-04-30 14:37:54","43463","636","695279C51D19D7141627D832550F45D67AF47FBE","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1542_stage_7_2i_primary_break_detection_gap_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1542_stage_7_2i_primary_break_detection_gap_snapshot.pine","2026-04-30 15:35:42","50091","682","2ED643A3FEA38245DC0AF5E65694FC84260DEE97","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1618_after_stage_7_2j_primary_break_threshold.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1618_after_stage_7_2j_primary_break_threshold.pine","2026-04-30 16:19:35","51690","699","B290AD93C24C1B2D11EBA03EDF3DC0A88B158809","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1618_before_stage_7_2j_primary_break_threshold.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1618_before_stage_7_2j_primary_break_threshold.pine","2026-04-30 15:35:42","50091","682","2ED643A3FEA38245DC0AF5E65694FC84260DEE97","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1716_stage_7_2l_structural_protected_level_audit_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1716_stage_7_2l_structural_protected_level_audit_snapshot.pine","2026-04-30 16:19:35","51690","699","B290AD93C24C1B2D11EBA03EDF3DC0A88B158809","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
